Date,Revenue,COGS
2023-08-07,2886793.62,2643557.62
2023-08-08,2883890.38,2803067.96
2023-08-09,3042087.64,2780397.28
2023-08-10,3210354.89,2909383.01
2023-08-11,3080595.72,2813883.15
2023-08-12,3213306.03,3042149.57
2023-08-13,3216312.04,3000229.82
2023-08-14,3500403.73,3188075.16
2023-08-15,3773782.08,3386048.31
2023-08-16,3819544.6,3352411.27
2023-08-17,3823391.65,3492437.58
2023-08-18,3558841.82,3200990.69
2023-08-19,3380354.3,3164313.66
2023-08-20,3531088.78,3345469.17
2023-08-21,3514875.62,3205268.96
2023-08-22,3836527.8,3548570.41
2023-08-23,3785878.17,3428165.67
2023-08-24,3712861.43,3428922.25
2023-08-25,3472016.24,3286924.12
2023-08-26,3456933.89,3271727.66
2023-08-27,3398659.7,3277596.2
2023-08-28,6477346.78,6360345.95
2023-08-29,7320838.96,7166760.37
2023-08-30,7174588.12,7151603.82
2023-08-31,7356323.94,6893587.45
2023-09-01,6871428.9,5984555.76
2023-09-02,2716265.56,2620708.68
2023-09-03,2504240.38,2284471.16
2023-09-04,2792009.52,2556454.81
2023-09-05,2700494.07,2480464.42
2023-09-06,2809161.58,2555950.09
2023-09-07,2820773.77,2547093.22
2023-09-08,3103735.48,2856239.13
2023-09-09,3351551.62,2987256.98
2023-09-10,3313171.72,3068526.21
2023-09-11,3701643.97,3392809.68
2023-09-12,3550957.64,3215163.42
2023-09-13,3258516.49,3060141.53
2023-09-14,3503790.51,3029558.11
2023-09-15,3372917.09,2953401.96
2023-09-16,3697143.01,3270258.1
2023-09-17,3576073.95,3241974.09
2023-09-18,3677744.62,3323793.03
2023-09-19,3451936.6,3181642.67
2023-09-20,3449424.63,3251475.08
2023-09-21,3505379.68,3300264.74
2023-09-22,3312441.93,3140595.46
2023-09-23,3727349.73,3256336.16
2023-09-24,3714013.07,3338217.12
2023-09-25,4180178.6,3730179.96
2023-09-26,4609032.01,4173860.78
2023-09-27,5476474.59,4836597.37
2023-09-28,5316528.15,4832786.46
2023-09-29,5004093.72,4516895.36
2023-09-30,4463983.84,4227302.32
2023-10-01,4051376.5,3584100.43
2023-10-02,2529696.01,2209491.97
2023-10-03,2383212.88,2034427.14
2023-10-04,2595942.99,2145369.85
2023-10-05,2570620.98,2074223.54
2023-10-06,2521194.74,2043150.49
2023-10-07,2694493.47,2155777.26
2023-10-08,3030773.53,2459356.47
2023-10-09,2987415.9,2461775.93
2023-10-10,3363207.47,2720987.05
2023-10-11,2697624.91,2431494.05
2023-10-12,3155265.56,2671080.25
2023-10-13,3035407.47,2574226.94
2023-10-14,3001886.9,2580451.56
2023-10-15,3232846.81,2698612.51
2023-10-16,3558717.62,2855861.4
2023-10-17,3217283.49,2676888.54
2023-10-18,3177356.11,2642930.28
2023-10-19,2899505.17,2501568.16
2023-10-20,2868734.15,2465506.74
2023-10-21,2928708.17,2415415.45
2023-10-22,3230904.94,2700676.59
2023-10-23,3381361.8,2780388.57
2023-10-24,3108847.01,2650417.4
2023-10-25,3274221.06,2701855.47
2023-10-26,2961969.59,2563698.48
2023-10-27,3167347.16,2763178.94
2023-10-28,4242276.7,3660494.04
2023-10-29,5587962.89,4483643.2
2023-10-30,5574938.55,4659698.1
2023-10-31,5173150.18,4268541.53
2023-11-01,4729806.24,3671145.12
2023-11-02,2106558.92,1851065.51
2023-11-03,1800787.13,1628580.93
2023-11-04,1975437.21,1684118.92
2023-11-05,2426011.71,1996419.87
2023-11-06,2483851.71,2011824.47
2023-11-07,2297803.25,2015908.7
2023-11-08,2351650.23,2004334.79
2023-11-09,2553855.44,2247739.73
2023-11-10,2759664.24,2327050.59
2023-11-11,2841803.84,2433359.3
2023-11-12,2915902.65,2447318.67
2023-11-13,3247715.13,2698322.55
2023-11-14,3152101.05,2602633.21
2023-11-15,2999743.7,2501710.44
2023-11-16,2649578.33,2366969.23
2023-11-17,2543355.43,2232519.53
2023-11-18,2356204.74,2085164.4
2023-11-19,2420391.27,2217834.61
2023-11-20,2552601.79,2345916.06
2023-11-21,2268570.81,2083677.28
2023-11-22,2201805.9,2063628.8
2023-11-23,1798780.76,1737618.41
2023-11-24,1813138.3,1717642.25
2023-11-25,1997951.52,1887134.05
2023-11-26,2895216.73,2719072.47
2023-11-27,3322270.85,3005035.18
2023-11-28,3676620.28,3348145.08
2023-11-29,2832499.75,2810891.79
2023-11-30,3088260.99,2820580.0
2023-12-01,2298986.05,2142812.45
2023-12-02,1153242.9,1117650.33
2023-12-03,1429744.68,1311912.56
2023-12-04,1500045.07,1479017.96
2023-12-05,1635627.75,1489567.4
2023-12-06,1631433.08,1544070.6
2023-12-07,1557848.3,1448679.46
2023-12-08,1537944.3,1445250.8
2023-12-09,1640592.9,1564088.92
2023-12-10,1898237.89,1865834.15
2023-12-11,2135147.73,2025543.86
2023-12-12,2416624.55,2275367.9
2023-12-13,2261768.74,2154146.17
2023-12-14,2301328.41,2251637.11
2023-12-15,2161335.02,1967860.72
2023-12-16,2243417.53,2137209.08
2023-12-17,2657108.72,2434588.23
2023-12-18,2649070.99,2478868.3
2023-12-19,2871880.22,2720574.42
2023-12-20,2704944.06,2472135.43
2023-12-21,2640521.92,2566292.75
2023-12-22,2436732.79,2257297.15
2023-12-23,2280714.82,2152417.19
2023-12-24,2146891.39,2082061.92
2023-12-25,2247150.16,2062693.95
2023-12-26,2712326.25,2676647.08
2023-12-27,2760123.9,2756860.18
2023-12-28,4010910.35,3587075.98
2023-12-29,5512665.75,5377938.2
2023-12-30,4842832.23,4465669.65
2023-12-31,4538429.04,4234794.03
2024-01-01,4375653.56,3873118.85
2024-01-02,1775865.67,1534496.05
2024-01-03,1397773.67,1226880.59
2024-01-04,1395871.79,1243823.38
2024-01-05,1545079.57,1322778.74
2024-01-06,1746248.5,1498885.12
2024-01-07,2045694.49,1741350.02
2024-01-08,2139112.56,1834543.13
2024-01-09,2225483.42,1872432.39
2024-01-10,2170091.17,1883739.24
2024-01-11,2165436.4,1871460.76
2024-01-12,2239599.48,1907409.09
2024-01-13,2290027.97,1942603.03
2024-01-14,2322661.19,1949478.42
2024-01-15,2433828.43,2031758.6
2024-01-16,2222689.21,1949983.26
2024-01-17,2317203.01,2003164.67
2024-01-18,2140183.14,1864883.17
2024-01-19,2208048.97,1943662.83
2024-01-20,2382298.41,2036332.18
2024-01-21,2548390.29,2126403.48
2024-01-22,2704925.51,2314610.44
2024-01-23,2820202.26,2366683.3
2024-01-24,2552460.72,2275279.73
2024-01-25,2395548.46,2214989.57
2024-01-26,2774330.16,2391341.84
2024-01-27,3170066.0,2709748.28
2024-01-28,4352055.65,3544098.19
2024-01-29,4717821.2,3872569.53
2024-01-30,4372150.93,3699606.26
2024-01-31,3915530.93,3356715.83
2024-02-01,3761233.74,3117538.68
2024-02-02,2393705.42,2058324.59
2024-02-03,2082428.11,1807016.19
2024-02-04,2424641.51,2046797.62
2024-02-05,2558289.85,2144722.52
2024-02-06,2495167.32,2157991.68
2024-02-07,2625468.11,2263943.61
2024-02-08,2336413.21,2090713.2
2024-02-09,2469280.65,2196329.1
2024-02-10,2663063.95,2281813.73
2024-02-11,3081915.84,2647450.79
2024-02-12,3431736.58,2889072.63
2024-02-13,3200969.5,2816620.15
2024-02-14,3092690.69,2792908.06
2024-02-15,2852810.0,2596925.72
2024-02-16,3046409.23,2741606.76
2024-02-17,3056566.62,2711973.3
2024-02-18,3445895.08,2963394.37
2024-02-19,3783772.05,3203622.23
2024-02-20,3460887.35,3124565.45
2024-02-21,3362629.43,3077328.94
2024-02-22,3359677.9,3131171.01
2024-02-23,3566460.35,3334777.09
2024-02-24,4049220.06,3746404.86
2024-02-25,5353072.59,4997200.52
2024-02-26,5579736.09,5221796.09
2024-02-27,5429046.69,5031197.67
2024-02-28,4598880.75,4328098.24
2024-02-29,2397964.13,2241421.67
2024-03-01,2852648.24,2473114.91
2024-03-02,1315826.78,1272261.01
2024-03-03,1545688.04,1453590.14
2024-03-04,2140802.05,1841110.93
2024-03-05,2472393.45,2082306.75
2024-03-06,3335223.99,2771813.28
2024-03-07,3355244.99,2805707.64
2024-03-08,3537164.69,2930912.56
2024-03-09,3299442.28,2884517.86
2024-03-10,3542563.85,3021382.63
2024-03-11,4252350.88,3548443.04
2024-03-12,4224880.95,3585370.98
2024-03-13,4731168.23,3819270.62
2024-03-14,4862146.71,3939731.16
2024-03-15,4879434.04,3933709.32
2024-03-16,4332276.36,3786517.59
2024-03-17,5073612.93,4345587.07
2024-03-18,5332753.73,4538156.82
2024-03-19,5028227.14,4433727.3
2024-03-20,5353806.31,4508336.18
2024-03-21,5109569.78,4386800.52
2024-03-22,4968060.9,4584938.53
2024-03-23,4921274.22,4586796.05
2024-03-24,5106406.28,4723550.28
2024-03-25,5348707.97,4942872.36
2024-03-26,5634090.96,5058766.02
2024-03-27,6044355.57,5508098.37
2024-03-28,5918079.11,5526823.22
2024-03-29,5882597.82,5814976.13
2024-03-30,9331942.2,9107875.24
2024-03-31,8913761.31,8349129.51
2024-04-01,9483753.01,8964733.89
2024-04-02,8233662.53,7510974.84
2024-04-03,8089018.96,7712044.15
2024-04-04,3600293.95,3295476.64
2024-04-05,3113539.66,2901779.33
2024-04-06,3534866.13,3129715.03
2024-04-07,3630229.1,3304648.18
2024-04-08,4398035.27,4049238.81
2024-04-09,4739948.52,4338782.82
2024-04-10,5325625.53,4694550.09
2024-04-11,5040061.86,4630542.16
2024-04-12,4610258.53,4461850.5
2024-04-13,4940620.1,4519523.28
2024-04-14,5143079.57,4715986.16
2024-04-15,5377071.95,4854475.79
2024-04-16,5814109.77,5012328.27
2024-04-17,5729869.42,5095513.31
2024-04-18,5910282.54,5157903.21
2024-04-19,5517665.92,4927350.36
2024-04-20,5620124.85,4848532.59
2024-04-21,5635186.71,4867005.33
2024-04-22,5772397.93,5094033.68
2024-04-23,6535866.94,5720573.5
2024-04-24,6380188.07,5634352.8
2024-04-25,6904293.92,6143664.98
2024-04-26,5910318.4,5442876.37
2024-04-27,6116774.47,5699414.54
2024-04-28,7577865.42,6859281.39
2024-04-29,10565948.97,9342051.71
2024-04-30,10349908.1,9527623.04
2024-05-01,10529389.75,9006370.9
2024-05-02,8630864.35,7335526.37
2024-05-03,6642324.74,5871179.35
2024-05-04,3161120.92,2923522.45
2024-05-05,3897639.13,3346252.04
2024-05-06,4237384.9,3446324.36
2024-05-07,4536946.17,3697852.95
2024-05-08,4975307.77,3993983.88
2024-05-09,4673348.67,3876352.53
2024-05-10,4924864.48,3953474.68
2024-05-11,4924006.73,4167879.18
2024-05-12,5180014.88,4393158.43
2024-05-13,5671751.27,4900190.54
2024-05-14,5927962.82,5132612.69
2024-05-15,6064939.15,5248158.41
2024-05-16,6157626.3,5343352.56
2024-05-17,5909497.76,5111580.58
2024-05-18,5650457.57,5112142.43
2024-05-19,5607376.37,5091414.94
2024-05-20,5770699.59,5121795.88
2024-05-21,5777360.36,5062077.25
2024-05-22,6453856.2,5519796.51
2024-05-23,6083414.67,5244567.92
2024-05-24,5807074.11,5108964.72
2024-05-25,5624643.69,5101085.44
2024-05-26,5418030.07,5004167.5
2024-05-27,5842591.05,5436058.1
2024-05-28,6337758.83,5816818.93
2024-05-29,6991577.71,6368097.67
2024-05-30,12445271.17,10188258.66
2024-05-31,10893501.13,9802232.37
2024-06-01,11067872.03,9402171.75
2024-06-02,9567091.61,8189395.68
2024-06-03,7981893.34,6765056.14
2024-06-04,4386607.0,3721659.58
2024-06-05,4831949.33,3887768.12
2024-06-06,4711966.96,3795298.45
2024-06-07,4318210.55,3633904.85
2024-06-08,4513308.05,3901046.26
2024-06-09,5057363.64,4235742.12
2024-06-10,5503508.96,4531697.48
2024-06-11,5502246.2,4581749.03
2024-06-12,5952389.16,5025156.36
2024-06-13,5686395.62,4765359.99
2024-06-14,5493779.21,4669005.3
2024-06-15,5507313.0,4628348.98
2024-06-16,5817139.73,5016236.36
2024-06-17,5677359.3,4950209.75
2024-06-18,5948155.27,5127324.75
2024-06-19,5924696.18,4855340.6
2024-06-20,5767120.42,4898649.14
2024-06-21,5578850.44,4615452.3
2024-06-22,5596642.77,4818452.93
2024-06-23,5586899.69,5079370.79
2024-06-24,5845890.58,5410951.93
2024-06-25,5886545.98,5714260.82
2024-06-26,5900658.24,5697480.32
2024-06-27,5867449.51,5408719.12
2024-06-28,6003244.39,5653007.72
2024-06-29,8421064.55,7961810.55
2024-06-30,7257665.9,7002207.73
2024-07-01,7056553.16,6830732.38
